frame,person_id,center_x,center_y
19,8,471,180
19,9,21,193
20,0,246,185
20,1,511,194
20,2,431,185
20,3,560,197
20,4,294,194
20,5,333,189
20,6,393,180
20,7,367,175
20,8,471,181
20,9,22,193
21,0,246,185
21,1,511,195
21,2,430,184
21,3,559,197
21,4,295,194
21,5,333,189
21,6,393,180
21,7,366,175
21,8,472,181
21,9,22,193
22,0,246,185
22,1,510,195
22,2,430,185
22,3,557,198
22,4,295,193
22,5,334,190
22,6,392,181
22,7,366,176
22,8,472,182
22,9,21,193
22,10,334,190
23,0,246,185
23,1,508,196
23,2,430,184
23,3,556,199
23,4,295,193
23,6,393,181
23,7,366,176
23,8,472,182
23,9,21,190
23,10,333,188
24,0,245,184
24,1,507,196
24,2,431,184
24,3,555,199
24,4,294,192
24,6,393,182
24,7,366,176
24,8,472,182
24,10,333,187
24,9,21,190
25,0,244,185
25,1,506,196
25,2,430,185
25,3,554,199
25,4,294,192
25,5,333,196
25,6,394,182
25,7,366,178
25,8,472,182
25,9,21,191
26,0,244,186
26,1,505,196
26,2,430,185
26,3,553,200
26,4,294,192
26,5,333,192
26,6,394,182
26,7,366,177
26,8,473,183
26,9,22,191
27,0,244,187
27,1,504,196
27,2,425,185
27,3,553,200
27,4,294,192
27,5,333,187
27,6,394,183
27,7,366,177
27,8,472,183
27,9,22,191
27,10,333,193
28,0,243,187
28,1,503,195
28,2,427,186
28,3,553,199
28,4,294,192
28,5,333,187
28,6,394,183
28,7,365,179
28,8,473,183
28,9,22,191
29,0,242,188
29,1,502,194
29,2,426,187
29,3,553,198
29,4,294,192
29,6,394,183
29,7,365,179
29,8,473,183
29,10,334,193
29,9,23,191
30,0,241,188
30,1,501,193
30,2,424,187
30,3,552,198
30,4,294,193
30,5,333,193
30,6,394,183
30,7,366,179
30,8,473,184
30,9,23,192
30,10,334,193
31,0,241,189
31,1,500,193
31,2,426,188
31,3,550,199
31,4,295,194
31,5,336,188
31,6,394,183
31,7,365,184
31,8,473,184
31,9,24,193
32,0,241,190
32,1,500,193
32,2,426,188
32,3,549,199
32,4,294,194
32,5,336,188
32,6,393,183
32,7,364,183
32,9,24,193
32,8,473,183
33,0,241,190
33,1,498,194
33,2,426,188
33,3,549,198
33,4,295,195
33,5,336,188
33,6,393,183
33,7,364,182
33,9,24,193
33,8,472,183
34,0,241,191
34,1,497,195
34,2,426,188
34,3,547,199
34,4,295,195
34,5,336,189
34,6,393,183
34,7,364,182
34,9,24,193
34,8,472,184
35,0,242,190
35,1,495,196
35,2,426,188
35,3,545,199
35,4,294,195
35,5,335,191
35,6,393,184
35,7,364,182
35,9,24,194
35,8,474,185
36,0,241,190
36,1,494,196
36,2,427,188
36,3,545,200
36,4,294,195
36,5,336,191
36,6,393,184
36,7,363,182
36,8,456,177
36,9,24,194
36,11,64,200
37,0,241,191
37,1,494,197
37,2,426,187
37,3,543,200
37,4,295,195
37,5,335,191
37,6,392,183
37,7,362,183
37,8,457,177
37,9,24,194
37,11,64,200
38,0,242,190
38,1,494,198
38,2,426,187
38,3,541,202
38,4,296,196
38,5,336,192
38,6,392,184
38,7,362,181
38,8,457,179
38,9,24,195
38,11,65,199
39,0,242,191
39,1,494,199
39,2,424,188
39,3,540,202
39,4,297,196
39,5,336,192
39,6,392,184
39,7,361,180
39,8,458,179
39,9,24,196
39,11,65,200
40,0,243,191
40,1,492,200
40,2,425,188
40,3,540,203
40,4,298,197
40,5,337,194
40,6,392,185
40,7,361,181
40,8,458,178
40,9,24,196
40,11,65,200
41,0,244,192
41,1,490,200
41,2,425,188
41,3,539,202
41,4,298,196
41,5,337,198
41,6,391,185
41,7,360,181
41,8,459,178
41,9,25,196
41,11,65,200
42,0,246,193
42,1,490,200
42,2,425,189
42,3,538,203
42,4,298,196
42,5,337,198
42,6,391,186
42,7,360,181
42,8,458,179
42,9,25,197
42,11,64,200
43,0,246,194
43,1,487,200
43,2,424,189
43,3,535,202
43,4,300,197
43,5,337,199
43,6,389,186
43,7,359,182
43,9,25,197
43,8,461,178
43,11,65,201
44,0,247,195
44,1,485,199
44,2,424,190
44,3,534,201
44,4,301,196
44,5,335,200
44,6,388,187
44,7,359,182
44,9,25,198
44,8,460,178
44,11,65,200
45,0,248,197
45,1,485,198
45,2,424,191
45,3,533,201
45,4,300,197
45,5,335,201
45,6,389,188
45,7,359,182
45,9,26,197
45,8,457,178
45,11,65,200
46,0,248,197
46,1,485,198
46,2,424,191
46,3,531,201
46,4,300,196
46,5,334,201
46,6,388,188
46,7,359,182
46,8,457,178
46,9,27,197
46,11,64,199
47,0,248,197
47,1,484,197
47,2,424,192
47,3,530,201
47,4,300,196
47,5,334,202
47,6,388,188
47,7,360,183
47,8,458,179
47,9,28,199
47,11,64,199
48,0,249,197
48,1,483,197
48,2,423,192
48,3,529,202
48,4,300,197
48,5,334,201
48,6,389,188
48,7,359,183
48,9,28,198
48,11,64,199
48,8,457,179
49,0,249,197
49,1,482,197
49,2,423,192
49,3,528,202
49,4,301,197
49,5,334,202
49,6,388,188
49,7,359,182
49,9,28,196
49,11,65,200
49,8,458,178
50,0,249,197
50,1,481,197
50,2,424,192
50,3,528,203
50,4,300,197
50,5,334,203
50,6,388,188
50,7,359,183
50,9,29,195
50,11,65,200
50,8,458,178
51,0,249,197
51,1,481,198
51,2,423,192
51,3,526,203
51,4,299,197
51,5,335,201
51,6,388,188
51,7,359,183
51,9,29,196
51,11,65,201
52,0,249,197
52,1,480,198
52,2,423,191
52,3,526,204
52,4,298,198
52,5,335,201
52,6,387,188
52,7,359,183
52,11,65,200
52,9,30,197
53,0,249,197
53,1,478,199
53,2,423,191
53,3,524,205
53,4,298,198
53,5,335,202
53,6,387,188
53,7,359,184
53,11,65,201
53,8,459,179
53,9,30,197
54,0,249,197
54,1,477,199
54,2,422,191
54,3,523,204
54,4,297,198
54,5,335,202
54,6,387,188
54,7,359,184
54,9,30,197
54,11,65,201
54,8,458,179
55,0,248,198
55,1,475,200
55,2,422,191
55,3,522,204
55,4,296,199
55,5,335,202
55,6,387,189
55,7,359,184
55,9,30,197
55,11,65,201
56,0,247,199
56,1,475,200
56,2,421,191
56,3,521,204
56,4,296,199
56,5,335,201
56,6,387,189
56,7,359,184
56,9,31,196
56,11,65,202
57,0,247,200
57,1,475,201
57,2,421,192
57,3,520,204
57,4,297,199
57,5,333,199
57,6,387,189
57,7,358,185
57,9,31,197
57,11,66,201
58,0,248,201
58,1,474,201
58,2,420,192
58,3,519,203
58,4,298,199
58,5,333,197
58,6,386,189
58,7,359,185
58,9,31,196
58,11,64,185
59,0,247,203
59,1,473,202
59,2,420,193
59,3,518,203
59,4,298,200
59,5,333,196
59,6,386,189
59,7,359,185
59,9,31,197
59,11,64,186
60,0,248,203
60,1,473,202
60,2,420,194
60,3,517,202
60,4,298,200
60,5,333,198
60,6,386,190
60,7,359,185
60,9,31,197
60,11,64,185
61,0,248,204
61,1,470,201
61,2,419,194
61,3,516,203
61,4,299,201
61,5,333,197
61,6,384,190
61,7,359,185
61,9,30,198
61,11,63,186
62,0,248,204
62,1,470,201
62,2,419,194
62,3,516,202
62,4,299,201
62,5,334,199
62,6,384,190
62,7,359,185
62,9,30,198
62,11,66,203
63,0,248,203
63,1,468,200
63,2,418,194
63,3,515,202
63,4,300,201
63,5,333,200
63,7,359,185
63,9,30,198
63,6,383,191
63,11,66,204
64,0,249,204
64,1,466,200
64,2,418,194
64,3,512,203
64,4,300,201
64,5,334,201
64,6,384,191
64,7,359,185
64,9,30,199
64,11,66,203
65,0,250,203
65,1,466,199
65,2,418,194
65,3,510,203
65,4,300,201
65,5,334,200
65,6,383,191
65,7,359,185
65,9,30,199
65,11,66,203
66,0,252,202
66,1,464,199
66,2,417,193
66,3,509,204
66,4,300,200
66,6,383,191
66,7,358,186
66,9,29,199
66,12,334,200
66,11,67,204
67,0,254,203
67,1,463,199
67,2,417,193
67,3,508,204
67,4,301,200
67,5,335,201
67,6,383,191
67,7,358,186
67,9,29,198
67,11,67,203
68,0,255,204
68,1,463,199
68,2,417,193
68,3,506,204
68,4,300,200
68,6,382,191
68,7,357,186
68,9,29,198
68,11,67,203
68,12,334,201
69,0,256,205
69,1,461,200
69,2,417,193
69,3,505,205
69,4,300,200
69,6,382,191
69,7,357,186
69,9,29,198
69,11,66,202
69,12,334,202
69,13,126,206
70,0,257,205
70,1,459,201
70,2,416,193
70,3,504,205
70,4,300,200
70,6,382,191
70,7,357,186
70,9,29,198
70,12,334,200
70,13,126,207
70,11,65,201
71,0,257,206
71,1,459,201
71,2,416,193
71,3,503,205
71,4,301,199
71,6,382,192
71,7,357,186
71,9,30,198
71,11,65,201
71,13,126,207
71,5,334,200
71,12,336,199
72,0,257,207
72,1,458,201
72,2,416,193
72,3,501,205
72,4,300,199
72,6,382,192
72,7,357,186
72,9,30,198
72,11,66,201
72,12,335,199
72,13,125,207
73,0,258,209
73,1,458,202
73,2,415,193
73,3,500,204
73,4,300,199
73,6,382,191
73,7,357,186
73,9,30,198
73,11,66,202
73,12,334,199
73,13,125,208
74,0,259,210
74,1,457,202
74,2,416,194
74,3,500,204
74,4,300,200
74,6,382,192
74,7,357,187
74,9,29,198
74,12,334,202
74,13,125,208
74,11,66,201
75,0,260,210
75,1,456,202
75,2,416,194
75,3,498,204
75,4,300,200
75,6,382,192
75,7,356,187
75,9,29,198
75,12,335,200
75,13,124,209
75,11,65,200
76,0,260,210
76,1,456,202
76,2,415,195
76,3,498,204
76,4,300,200
76,6,381,192
76,7,356,187
76,9,30,198
76,12,335,199
76,13,124,208
76,11,65,187
77,0,260,210
77,1,455,202
77,2,415,196
77,3,498,204
77,4,300,201
77,6,382,192
77,7,356,188
77,9,30,199
77,12,335,199
77,11,65,188
77,13,124,206
78,0,260,209
78,1,455,201
78,2,415,196
78,3,497,204
78,4,301,201
78,6,382,192
78,7,356,188
78,9,31,198
78,12,336,198
78,13,125,206
78,11,65,188
79,0,261,209
79,1,455,200
79,2,415,196
79,3,496,204
79,4,300,201
79,6,381,192
79,7,356,189
79,9,31,199
79,12,336,199
79,13,124,207
79,11,65,188
80,0,261,208
80,1,455,200
80,2,415,195
80,3,495,204
80,4,301,201
80,6,382,193
80,7,356,190
80,9,31,199
80,12,336,200
80,13,124,209
80,11,65,189
81,0,262,209
81,1,454,200
81,2,414,195
81,3,495,205
81,4,301,201
81,6,381,192
81,7,355,188
81,9,31,199
81,12,336,199
81,13,124,210
81,11,65,188
82,0,262,209
82,1,453,200
82,2,414,195
82,3,494,205
82,4,301,202
82,6,381,192
82,9,31,200
82,12,337,199
82,13,125,212
82,7,353,188
82,11,64,188
83,0,262,211
83,1,452,200
83,2,414,194
83,3,493,205
83,4,301,202
83,6,382,192
83,9,32,200
83,12,338,198
83,13,125,213
83,7,352,188
83,11,64,190
84,0,261,212
84,1,451,200
84,2,414,194
84,3,492,205
84,4,302,202
84,6,381,192
84,9,32,200
84,12,338,199
84,13,124,213
84,7,355,193
84,11,64,190
85,0,260,212
85,1,449,200
85,2,413,194
85,3,491,205
85,4,301,202
85,6,381,193
85,9,32,200
85,11,65,191
85,12,339,198
85,7,349,188
85,13,126,211
86,0,258,213
86,1,448,201
86,2,412,194
86,3,491,206
86,4,301,202
86,6,381,193
86,9,33,200
86,12,338,199
86,7,350,188
86,11,65,191
86,13,126,212
87,0,257,215
87,1,448,201
87,2,412,194
87,3,490,205
87,4,301,202
87,6,381,193
87,9,36,201
87,12,338,199
87,7,351,193
87,11,65,192
87,13,126,211
88,0,257,216
88,1,447,201
88,2,412,195
88,3,490,204
88,4,301,202
88,6,381,193
88,12,339,199
88,7,351,187
88,9,36,201
88,11,65,191
88,13,125,209
89,0,259,216
89,1,446,201
89,2,411,195
89,3,488,204
89,4,303,203
89,6,380,193
89,9,34,201
89,12,339,198
89,5,350,187
89,7,350,187
89,11,65,191
89,13,126,201
90,0,259,216
90,1,446,202
90,2,412,196
90,3,489,204
90,4,303,203
90,6,379,194
90,9,36,202
90,12,338,199
90,7,349,186
90,11,65,191
90,13,126,208
91,0,260,215
91,1,445,202
91,2,410,197
91,3,489,204
91,4,304,203
91,6,378,194
91,9,38,201
91,12,338,201
91,7,349,186
91,11,65,191
91,13,132,189
92,0,260,215
92,1,445,203
92,2,410,197
92,3,489,204
92,4,304,201
92,6,378,194
92,9,38,201
92,11,65,191
92,12,337,200
92,7,349,187
93,0,262,214
93,1,445,203
93,2,409,197
93,3,489,205
93,4,304,202
93,6,378,194
93,9,38,201
93,11,65,191
93,12,336,200
93,7,348,187
94,0,262,214
94,1,445,203
94,2,409,197
94,3,489,205
94,4,305,202
94,6,378,194
94,9,38,200
94,11,65,191
94,12,337,199
94,7,347,187
94,13,132,193
95,0,263,214
95,1,444,203
95,2,408,197
95,3,488,205
95,4,304,201
95,6,378,194
95,9,39,199
95,12,337,199
95,7,347,187
95,11,65,190
95,13,132,196
96,0,265,215
96,1,443,202
96,2,408,196
96,3,489,205
96,4,305,201
96,6,377,194
96,9,40,199
96,12,336,200
96,5,347,174
96,7,347,186
96,11,65,189
97,0,265,217
97,1,442,201
97,2,408,196
97,3,487,205
97,4,304,202
97,6,377,194
97,9,39,200
97,12,336,200
97,14,12,197
97,7,346,185
97,11,65,190
97,13,132,199
98,0,266,218
98,1,442,201
98,2,407,196
98,3,484,205
98,4,304,202
98,6,377,194
98,9,39,199
98,12,336,200
98,14,12,197
98,11,65,190
98,13,131,199
99,0,267,218
99,1,442,200
99,2,408,195
99,3,481,205
99,4,304,202
99,6,377,193
99,9,38,199
99,12,337,200
99,14,13,197
99,11,65,190
99,13,130,198
100,0,268,220
100,1,441,200
100,2,407,195
100,3,479,205
100,4,304,202
100,6,377,193
100,9,38,199
100,12,336,200
100,14,13,197
100,15,502,199
100,11,64,190
100,13,129,198
101,0,269,221
101,1,440,200
101,2,407,195
101,3,478,205
101,4,303,202
101,6,377,193
101,9,38,199
101,12,335,200
101,14,13,197
101,15,503,199
101,7,346,187
101,11,64,189
101,13,129,197
102,0,270,221
102,1,440,200
102,2,407,195
102,3,477,205
102,4,303,202
102,6,377,193
102,9,38,199
102,12,336,200
102,13,128,195
102,14,13,197
102,15,503,199
102,11,64,189
103,0,270,222
103,1,440,200
103,2,407,195
103,3,476,205
103,4,304,202
103,6,377,193
103,9,38,199
103,12,335,200
103,13,128,195
103,14,13,197
103,15,502,200
103,11,64,189
104,0,271,221
104,1,439,200
104,2,407,195
104,3,476,205
104,4,305,202
104,6,377,193
104,9,38,199
104,12,335,200
104,13,128,195
104,14,13,197
104,15,502,200
104,11,64,188
105,0,272,221
105,1,437,201
105,2,407,196
105,3,474,204
105,4,306,202
105,6,377,193
105,9,38,199
105,12,335,200
105,13,128,195
105,14,13,197
105,15,501,200
105,11,67,203
106,0,273,221
106,1,436,201
106,2,406,196
106,3,474,204
106,4,306,202
106,6,377,193
106,9,38,198
106,12,334,201
106,13,128,194
106,14,13,197
106,15,501,200
106,5,347,176
106,7,346,189
106,11,68,202
107,0,275,220
107,1,435,202
107,2,406,197
107,3,474,204
107,4,306,202
107,6,377,193
107,9,38,195
107,11,64,186
107,12,335,200
107,13,128,194
107,14,13,197
107,15,502,200
107,7,346,190
108,0,276,219
108,1,435,202
108,2,406,196
108,3,474,203
108,4,306,202
108,6,377,194
108,9,38,198
108,12,335,200
108,13,128,194
108,14,13,197
108,15,503,200
108,11,64,186
109,0,276,220
109,1,435,202
109,2,406,196
109,3,474,203
109,4,307,202
109,6,377,193
109,9,37,199
109,12,337,201
109,13,129,195
109,14,13,197
109,15,504,200
109,11,64,186
110,0,277,221
110,1,433,202
110,2,406,196
110,3,473,204
110,4,307,203
110,6,377,194
110,9,36,199
110,12,337,201
110,13,129,195
110,14,13,197
110,15,503,200
110,11,64,186
111,0,277,223
111,1,433,202
111,2,407,196
111,3,473,204
111,4,307,202
111,6,377,193
111,9,37,198
111,12,338,201
111,13,130,195
111,14,13,197
111,15,504,200
111,11,64,186
112,0,277,224
112,1,432,202
112,2,405,195
112,3,473,204
112,4,308,202
112,6,377,193
112,9,37,198
112,12,337,201
112,13,130,195
112,14,14,196
112,15,505,201
113,0,278,224
113,1,431,203
113,2,406,195
113,3,472,205
113,4,309,202
113,6,377,193
113,12,338,199
113,13,130,195
113,14,14,196
113,15,505,201
113,9,36,198
113,11,64,187
114,0,277,226
114,1,430,201
114,2,405,194
114,3,472,204
114,4,309,201
114,6,377,194
114,12,338,198
114,13,131,195
114,14,14,196
114,15,505,201
114,9,40,199
115,0,277,227
115,1,430,200
115,2,404,194
115,3,472,204
115,6,377,193
115,12,338,198
115,13,130,195
115,14,15,196
115,15,505,201
115,4,309,200
115,9,41,202
115,11,58,197
116,0,278,229
116,1,429,199
116,2,404,194
116,3,471,204
116,6,377,193
116,12,338,198
116,13,131,194
116,14,16,196
116,15,506,201
116,4,309,200
116,9,42,206
117,0,278,228
117,1,428,198
117,2,405,195
117,3,469,207
117,6,377,193
117,12,338,199
117,13,131,193
117,14,16,195
117,15,506,201
117,4,309,199
117,11,53,202
118,0,279,228
118,1,428,198
118,2,404,194
118,3,468,207
118,6,377,193
118,12,338,197
118,13,131,193
118,14,17,195
118,15,506,201
118,4,309,198
119,0,280,227
119,1,427,198
119,2,404,194
119,3,466,206
119,6,377,193
119,12,339,197
119,13,131,193
119,14,18,194
119,15,506,201
119,4,309,196
119,11,62,184
120,0,282,227
120,1,426,198
120,2,404,195
120,3,465,202
120,6,377,193
120,12,338,197
120,13,131,193
120,14,17,195
120,15,506,201
120,11,53,183
121,0,284,226
121,1,423,198
121,2,403,195
121,3,462,203
121,6,375,193
121,12,339,197
121,13,131,193
121,14,18,198
121,15,506,201
121,4,309,170
121,9,52,211
121,11,60,182
122,0,286,225
122,1,423,198
122,2,403,196
122,3,461,203
122,6,375,193
122,12,339,196
122,13,131,194
122,14,16,199
122,15,506,201
122,9,48,215
123,0,289,226
123,1,423,198
123,2,403,195
123,3,460,201
123,6,375,193
123,9,46,230
123,12,339,196
123,13,132,195
123,15,506,201
123,14,17,201
124,0,292,228
124,1,422,198
124,2,403,195
124,3,460,201
124,6,375,193
124,9,45,233
124,12,339,196
124,13,132,196
124,15,506,201
124,14,16,196
125,0,294,229
125,1,423,198
125,2,403,195
125,3,460,201
125,6,374,192
125,9,44,235
125,12,340,198
125,13,132,196
125,15,506,201
126,0,296,230
126,1,420,198
126,2,403,194
126,3,460,201
126,6,375,193
126,9,43,237
126,12,340,198
126,13,132,196
126,15,507,201
126,16,256,194
127,0,299,232
127,1,420,198
127,2,402,194
127,3,460,200
127,6,374,192
127,9,42,239
127,12,339,199
127,13,133,196
127,15,507,201
127,16,256,195
128,0,301,234
128,1,419,199
128,2,402,194
128,3,459,200
128,6,374,192
128,9,41,241
128,12,340,199
128,13,133,194
128,15,507,201
128,16,257,194
129,0,304,235
129,1,418,199
129,2,401,195
129,3,459,201
129,6,374,192
129,9,34,242
129,13,134,193
129,15,507,201
129,16,258,194
129,7,342,182
129,12,340,196
130,0,307,237
130,1,417,198
130,3,458,201
130,6,374,192
130,9,30,244
130,13,134,193
130,15,507,201
130,16,259,195
130,2,399,195
130,7,342,183
130,12,343,192
131,0,307,236
131,1,416,197
131,2,400,195
131,3,458,200
131,6,373,192
131,9,29,245
131,13,133,196
131,15,507,201
131,16,259,196
131,11,66,186
131,12,344,192
132,0,308,236
132,1,415,197
132,3,458,200
132,6,374,192
132,9,28,244
132,13,133,199
132,15,507,201
132,16,261,196
132,2,399,195
132,11,65,187
132,12,346,191
133,0,309,235
133,1,415,196
133,3,457,200
133,6,374,193
133,9,29,243
133,13,134,199
133,15,508,200
133,16,261,196
133,2,398,194
133,11,64,186
134,0,310,234
134,1,415,196
134,3,456,199
134,6,374,193
134,9,29,242
134,13,133,199
134,15,508,200
134,16,262,196
134,2,396,195
134,11,66,186
134,12,347,189
135,0,312,233
135,1,414,196
135,3,455,200
135,6,373,191
135,9,28,241
135,11,66,186
135,13,131,198
135,15,509,200
135,16,262,196
135,2,397,196
136,0,314,233
136,1,414,195
136,3,455,201
136,6,372,191
136,9,28,241
136,11,66,186
136,13,131,197
136,15,509,200
136,16,262,196
136,2,387,192
137,0,315,235
137,1,414,195
137,3,455,201
137,6,371,192
137,9,28,242
137,13,131,196
137,15,509,200
137,16,263,195
137,2,387,192
137,11,66,186
138,0,316,238
138,1,413,195
138,2,387,193
138,3,454,202
138,6,371,191
138,9,28,245
138,13,131,196
138,15,510,200
138,16,263,196
138,11,66,186
139,0,316,240
139,1,411,195
139,3,456,201
139,6,370,192
139,9,28,244
139,13,131,195
139,15,510,200
139,16,263,195
139,2,387,192
139,11,66,186
140,0,317,241
140,1,411,196
140,3,454,201
140,6,370,192
140,9,29,247
140,13,131,195
140,15,510,200
140,16,264,194
140,17,470,195
140,2,387,193
140,11,67,186
141,0,318,242
141,1,410,196
141,2,387,192
141,3,454,201
141,6,370,191
141,9,29,243
141,11,67,187
141,13,131,194
141,15,510,200
141,16,265,194
141,17,469,195
142,0,319,245
142,1,410,196
142,3,453,202
142,6,370,191
142,9,29,227
142,13,131,194
142,15,511,200
142,16,266,194
142,17,469,195
142,2,388,193
142,11,67,185
143,0,321,247
143,1,410,197
143,2,388,192
143,3,453,200
143,6,370,192
143,13,131,194
143,15,511,200
143,16,267,195
143,17,469,195
143,18,812,301
143,9,29,226
143,11,67,187
144,0,323,248
144,1,409,197
144,3,452,200
144,6,370,191
144,13,131,194
144,15,511,200
144,16,267,195
144,17,469,196
144,18,810,297
144,2,389,192
144,9,26,252
144,11,66,186
145,0,326,247
145,1,409,197
145,3,452,199
145,6,371,183
145,13,131,194
145,15,512,200
145,16,267,195
145,17,470,196
145,18,807,265
145,2,389,192
146,0,329,247
146,1,408,197
146,3,453,199
146,13,132,194
146,15,512,199
146,16,266,195
146,17,470,197
146,18,800,264
146,2,390,192
146,6,370,179
146,9,30,190
146,11,67,187
147,0,332,246
147,1,407,196
147,3,449,198
147,9,31,192
147,11,65,195
147,13,132,194
147,15,512,199
147,16,267,195
147,17,471,197
147,18,792,264
147,6,371,176
148,0,337,245
148,1,404,196
148,3,449,198
148,9,31,191
148,11,66,194
148,13,132,194
148,15,513,199
148,16,267,195
148,17,470,197
148,18,785,263
149,0,341,244
149,1,403,196
149,3,448,198
149,9,31,192
149,11,66,194
149,13,132,194
149,15,513,199
149,16,267,196
149,17,471,196
149,18,778,262
150,0,344,244
150,1,403,195
150,3,448,198
150,9,31,192
150,11,67,193
150,13,132,194
150,15,513,199
150,16,266,196
150,17,471,196
150,18,771,262
151,0,350,245
151,1,402,195
151,3,446,198
151,9,33,192
151,11,68,191
151,13,133,195
151,15,514,199
151,16,265,197
151,17,472,196
151,18,767,261
152,0,352,247
152,1,401,195
152,3,446,197
152,9,33,192
152,11,68,188
152,13,133,195
152,15,514,199
152,16,265,197
152,17,473,196
152,18,763,261
152,19,301,197
153,0,356,250
153,1,401,195
153,3,446,198
153,9,33,192
153,11,68,187
153,13,133,195
153,15,514,199
153,16,265,197
153,17,473,196
153,18,761,261
153,19,302,197
154,0,360,252
154,1,401,194
154,3,445,197
154,9,33,192
154,13,133,195
154,15,514,200
154,16,265,197
154,17,474,196
154,18,759,261
154,19,304,197
154,11,69,187
155,0,362,255
155,1,401,193
155,3,443,197
155,9,34,193
155,11,68,187
155,13,134,195
155,15,515,200
155,16,266,197
155,17,474,196
155,18,758,262
155,19,305,198
156,0,364,258
156,1,400,180
156,3,444,198
156,9,34,192
156,11,69,187
156,13,134,195
156,15,515,200
156,16,266,196
156,17,475,197
156,18,757,264
156,19,305,197
157,0,368,261
157,1,400,180
157,3,444,198
157,9,35,192
157,11,69,187
157,13,134,196
157,15,515,200
157,16,265,197
157,17,475,197
157,18,756,265
157,19,303,198
157,7,328,163
158,0,371,262
158,3,444,198
158,9,35,192
158,11,69,187
158,13,135,196
158,15,516,200
158,16,265,197
158,17,475,197
158,18,755,268
158,19,303,197
158,1,402,176
158,7,329,163
159,0,374,261
159,3,444,198
159,9,35,192
159,11,69,188
159,13,135,196
159,15,516,200
159,16,265,197
159,17,476,197
159,18,754,270
159,19,302,197
159,1,402,175
159,2,400,165
159,7,330,164
160,0,379,260
160,3,443,197
160,9,35,192
160,11,69,187
160,13,135,196
160,15,515,199
160,16,264,196
160,17,476,197
160,18,753,271
160,19,302,197
160,7,331,193
161,0,381,259
161,3,441,197
161,7,331,193
161,9,37,193
161,13,135,196
161,15,516,199
161,16,265,196
161,17,476,198
161,18,751,273
161,19,302,196
161,11,69,187
162,0,384,258
162,3,439,196
162,7,331,194
162,9,36,192
162,11,69,187
162,13,135,196
162,15,517,199
162,16,265,196
162,17,476,198
162,18,747,275
162,19,302,195
163,0,387,257
163,3,439,196
163,9,36,192
163,11,68,185
163,13,135,197
163,15,517,199
163,16,264,196
163,17,476,198
163,18,742,275
163,19,302,196
163,7,331,194
164,0,391,257
164,3,439,196
164,9,36,192
164,11,68,186
164,13,135,197
164,15,517,199
164,16,264,197
164,17,476,197
164,18,735,275
164,19,302,195
164,7,333,199
165,0,394,263
