frame,track_id,x,y,zone
210,1008,77.69,93.95,Zone 1
210,1009,64.35,36.62,Zone 1
210,1010,25.31,13.73,Zone 1
210,1011,46.77,74.67,Zone 1
210,1012,9.41,88.49,Zone 1
210,1013,16.28,66.78,Zone 1
210,1014,22.37,70.63,Zone 1
210,1015,99.41,40.38,Zone 1
210,1016,42.13,35.66,Zone 1
210,1017,9.22,36.6,Zone 1
210,1018,33.8,45.87,Zone 1
210,1019,70.32,38.43,Zone 1
210,1020,51.74,29.55,Zone 1
210,1021,96.08,11.28,Zone 1
240,1000,91.85,22.86,Zone 1
240,1001,87.64,8.41,Zone 1
240,1002,27.19,90.59,Zone 1
240,1003,18.16,75.58,Zone 1
240,1004,81.98,84.96,Zone 1
240,1005,67.6,94.6,Zone 1
240,1006,40.59,53.66,Zone 1
240,1007,51.48,49.46,Zone 1
240,1008,32.7,27.91,Zone 1
240,1009,79.96,18.33,Zone 1
240,1010,89.53,26.89,Zone 1
240,1011,1.68,8.86,Zone 1
240,1012,26.06,60.82,Zone 1
240,1013,22.24,26.45,Zone 1
240,1014,12.17,1.15,Zone 1
240,1015,99.43,41.78,Zone 1
240,1016,91.54,62.17,Zone 1
240,1017,4.32,70.95,Zone 1
240,1018,93.81,96.92,Zone 1
240,1019,26.19,18.11,Zone 1
240,1020,93.22,62.87,Zone 1
240,1021,53.11,20.59,Zone 1
240,1022,44.57,67.22,Zone 1
240,1023,27.05,80.37,Zone 1
270,1000,99.45,3.69,Zone 1
270,1001,1.84,50.57,Zone 1
270,1002,97.81,51.42,Zone 1
270,1003,24.57,44.71,Zone 1
270,1004,65.83,65.01,Zone 1
270,1005,65.65,54.59,Zone 1
270,1006,88.87,97.03,Zone 1
270,1007,30.78,21.52,Zone 1
270,1008,22.96,19.86,Zone 1
270,1009,88.19,72.88,Zone 1
270,1010,13.97,98.94,Zone 1
270,1011,98.19,83.7,Zone 1
270,1012,1.43,62.54,Zone 1
270,1013,87.99,43.07,Zone 1
270,1014,5.54,66.52,Zone 1
270,1015,38.09,50.59,Zone 1
270,1016,97.09,59.88,Zone 1
270,1017,69.27,4.52,Zone 1
270,1018,18.54,26.9,Zone 1
270,1019,0.36,36.41,Zone 1
300,1000,32.89,98.49,Zone 1
300,1001,32.35,3.44,Zone 1
300,1002,88.24,21.79,Zone 1
300,1003,18.3,33.53,Zone 1
300,1004,8.39,27.89,Zone 1
300,1005,65.6,24.82,Zone 1
300,1006,77.62,9.09,Zone 1
300,1007,81.7,14.39,Zone 1
300,1008,58.68,39.4,Zone 1
300,1009,29.96,62.97,Zone 1
300,1010,8.45,95.76,Zone 1
300,1011,85.32,15.53,Zone 1
300,1012,89.28,78.4,Zone 1
300,1013,59.66,76.43,Zone 1
300,1014,72.07,49.42,Zone 1
300,1015,28.42,61.87,Zone 1
300,1016,14.48,82.49,Zone 1
300,1017,71.5,51.3,Zone 1
300,1018,42.92,70.11,Zone 1
300,1019,50.55,90.99,Zone 1
300,1020,75.29,56.85,Zone 1
300,1021,81.29,1.61,Zone 1
300,1022,68.65,79.8,Zone 1
300,1023,71.12,95.61,Zone 1
300,1024,64.29,8.51,Zone 1
300,1025,4.19,63.71,Zone 1
330,1000,95.95,37.66,Zone 1
330,1001,45.14,5.08,Zone 1
330,1002,1.88,53.14,Zone 1
330,1003,24.46,26.38,Zone 1
330,1004,45.69,7.01,Zone 1
330,1005,93.25,89.79,Zone 1
330,1006,9.19,52.6,Zone 1
330,1007,74.57,47.39,Zone 1
330,1008,80.92,84.61,Zone 1
330,1009,23.48,75.64,Zone 1
330,1010,23.07,64.99,Zone 1
330,1011,46.03,84.55,Zone 1
330,1012,7.67,91.05,Zone 1
330,1013,28.73,4.67,Zone 1
330,1014,63.28,19.83,Zone 1
330,1015,59.97,33.18,Zone 1
330,1016,65.15,69.29,Zone 1
330,1017,62.12,13.34,Zone 1
330,1018,48.24,48.58,Zone 1
330,1019,97.25,9.95,Zone 1
330,1020,21.77,48.96,Zone 1
330,1021,70.89,28.55,Zone 1
330,1022,46.59,76.72,Zone 1
330,1023,99.33,54.91,Zone 1
330,1024,31.17,8.59,Zone 1
330,1025,47.29,28.96,Zone 1
360,1000,7.65,50.66,Zone 1
360,1001,99.46,99.4,Zone 1
360,1002,38.68,91.66,Zone 1
360,1003,93.05,7.46,Zone 1
360,1004,9.03,74.75,Zone 1
360,1005,26.18,35.96,Zone 1
360,1006,60.34,63.17,Zone 1
360,1007,27.96,11.27,Zone 1
360,1008,36.52,49.79,Zone 1
360,1009,87.61,39.41,Zone 1
360,1010,15.91,95.0,Zone 1
360,1011,68.16,40.54,Zone 1
360,1012,72.72,41.62,Zone 1
360,1013,37.61,12.09,Zone 1
360,1014,33.13,32.45,Zone 1
360,1015,33.83,39.83,Zone 1
360,1016,93.99,19.57,Zone 1
360,1017,1.17,73.99,Zone 1
360,1018,25.32,6.5,Zone 1
360,1019,39.02,87.0,Zone 1
360,1020,7.64,92.54,Zone 1
360,1021,75.57,85.43,Zone 1
360,1022,28.06,5.16,Zone 1
360,1023,66.2,63.5,Zone 1
360,1024,14.89,97.1,Zone 1
360,1025,43.62,31.56,Zone 1
360,1026,77.32,78.51,Zone 1
360,1027,42.77,2.9,Zone 1
390,1000,76.17,40.0,Zone 1
390,1001,87.57,55.42,Zone 1
390,1002,20.34,8.06,Zone 1
390,1003,93.35,41.09,Zone 1
390,1004,61.49,13.86,Zone 1
390,1005,86.95,48.56,Zone 1
390,1006,91.19,55.01,Zone 1
390,1007,17.08,41.49,Zone 1
390,1008,28.17,25.57,Zone 1
390,1009,73.87,65.28,Zone 1
390,1010,40.62,23.87,Zone 1
390,1011,48.32,66.89,Zone 1
390,1012,11.97,64.32,Zone 1
390,1013,7.52,50.06,Zone 1
390,1014,81.18,55.04,Zone 1
390,1015,45.3,33.28,Zone 1
390,1016,75.92,42.74,Zone 1
390,1017,54.78,24.41,Zone 1
390,1018,17.47,55.59,Zone 1
390,1019,31.93,36.83,Zone 1
390,1020,80.94,20.21,Zone 1
390,1021,2.01,87.06,Zone 1
390,1022,38.28,74.58,Zone 1
390,1023,21.0,27.02,Zone 1
390,1024,75.21,49.81,Zone 1
390,1025,57.43,36.01,Zone 1
390,1026,68.68,52.92,Zone 1
390,1027,79.03,84.86,Zone 1
390,1028,9.26,89.68,Zone 1
390,1029,38.46,64.58,Zone 1
390,1030,43.18,31.2,Zone 1
420,1000,81.43,96.8,Zone 1
420,1001,12.72,42.52,Zone 1
420,1002,76.37,80.42,Zone 1
420,1003,96.83,48.98,Zone 1
420,1004,7.31,93.02,Zone 1
420,1005,92.82,52.79,Zone 1
420,1006,46.82,44.9,Zone 1
420,1007,78.31,22.38,Zone 1
420,1008,15.21,97.19,Zone 1
420,1009,10.89,82.54,Zone 1
420,1010,70.1,84.65,Zone 1
420,1011,89.49,8.5,Zone 1
420,1012,77.69,0.14,Zone 1
420,1013,12.57,56.94,Zone 1
420,1014,3.76,71.5,Zone 1
420,1015,96.24,62.65,Zone 1
420,1016,52.83,43.74,Zone 1
420,1017,76.38,9.94,Zone 1
420,1018,30.03,94.35,Zone 1
420,1019,19.17,26.09,Zone 1
420,1020,79.05,0.12,Zone 1
420,1021,53.75,99.64,Zone 1
420,1022,27.86,31.64,Zone 1
420,1023,83.94,24.24,Zone 1
420,1024,52.63,54.7,Zone 1
420,1025,2.93,41.18,Zone 1
420,1026,64.96,5.53,Zone 1
420,1027,19.41,88.48,Zone 1
420,1028,64.72,8.11,Zone 1
420,1029,22.78,42.43,Zone 1
420,1030,37.02,49.29,Zone 1
420,1031,69.58,71.83,Zone 1
420,1032,36.23,39.64,Zone 1
420,1033,0.68,29.21,Zone 1
420,1034,84.51,6.74,Zone 1
420,1035,49.57,20.04,Zone 1
420,1036,76.59,19.39,Zone 1
420,1037,46.51,26.5,Zone 1
450,1000,88.93,10.9,Zone 1
450,1001,62.36,61.01,Zone 1
450,1002,89.65,48.51,Zone 1
450,1003,91.04,5.64,Zone 1
450,1004,59.48,92.19,Zone 1
450,1005,5.44,2.36,Zone 1
450,1006,59.61,41.54,Zone 1
450,1007,70.99,18.41,Zone 1
450,1008,44.96,71.2,Zone 1
450,1009,31.42,11.32,Zone 1
450,1010,7.94,16.56,Zone 1
450,1011,19.07,65.25,Zone 1
450,1012,52.48,46.76,Zone 1
450,1013,31.18,72.54,Zone 1
450,1014,83.91,98.5,Zone 1
450,1015,44.24,10.9,Zone 1
450,1016,7.82,8.08,Zone 1
450,1017,42.02,88.52,Zone 1
450,1018,56.11,75.88,Zone 1
450,1019,38.01,76.87,Zone 1
450,1020,30.87,80.39,Zone 1
450,1021,8.78,70.53,Zone 1
450,1022,19.57,54.15,Zone 1
450,1023,44.63,32.33,Zone 1
450,1024,73.73,47.45,Zone 1
450,1025,63.17,24.8,Zone 1
450,1026,62.54,40.48,Zone 1
450,1027,37.56,46.41,Zone 1
450,1028,80.33,6.2,Zone 1
450,1029,19.49,6.29,Zone 1
450,1030,60.56,36.3,Zone 1
450,1031,33.5,95.38,Zone 1
450,1032,4.36,74.64,Zone 1
450,1033,68.96,92.42,Zone 1
450,1034,29.74,72.16,Zone 1
450,1035,59.56,80.57,Zone 1
450,1036,94.65,6.53,Zone 1
450,1037,82.6,10.73,Zone 1
450,1038,71.56,46.57,Zone 1
450,1039,77.64,78.98,Zone 1
480,1000,91.35,81.48,Zone 1
480,1001,13.27,49.65,Zone 1
480,1002,0.87,93.11,Zone 1
480,1003,30.33,69.21,Zone 1
480,1004,15.13,23.61,Zone 1
480,1005,86.12,46.08,Zone 1
480,1006,78.38,59.57,Zone 1
480,1007,51.19,39.17,Zone 1
480,1008,15.99,40.78,Zone 1
480,1009,64.95,48.17,Zone 1
480,1010,54.46,16.07,Zone 1
480,1011,42.66,10.52,Zone 1
480,1012,7.22,62.46,Zone 1
480,1013,20.83,42.11,Zone 1
480,1014,98.84,97.21,Zone 1
480,1015,17.32,13.29,Zone 1
480,1016,46.09,89.13,Zone 1
480,1017,23.49,53.86,Zone 1
480,1018,77.39,75.96,Zone 1
480,1019,77.98,29.39,Zone 1
480,1020,27.94,26.77,Zone 1
480,1021,25.41,26.03,Zone 1
480,1022,43.94,18.57,Zone 1
480,1023,23.55,28.14,Zone 1
480,1024,90.76,18.83,Zone 1
480,1025,6.48,25.17,Zone 1
480,1026,24.59,52.63,Zone 1
480,1027,64.96,10.05,Zone 1
480,1028,46.39,3.7,Zone 1
480,1029,0.45,88.28,Zone 1
480,1030,23.11,44.83,Zone 1
480,1031,37.39,87.69,Zone 1
480,1032,23.29,5.04,Zone 1
480,1033,60.05,82.79,Zone 1
480,1034,19.42,7.51,Zone 1
480,1035,51.27,17.78,Zone 1
480,1036,60.3,77.5,Zone 1
480,1037,66.48,0.63,Zone 1
480,1038,63.75,70.97,Zone 1
510,1000,34.97,3.75,Zone 1
510,1001,34.0,4.42,Zone 1
510,1002,99.99,3.82,Zone 1
510,1003,73.22,91.4,Zone 1
510,1004,81.47,81.88,Zone 1
510,1005,40.9,37.18,Zone 1
510,1006,62.1,7.79,Zone 1
510,1007,3.15,49.56,Zone 1
510,1008,48.35,40.82,Zone 1
510,1009,79.58,66.4,Zone 1
510,1010,15.46,53.4,Zone 1
510,1011,65.31,39.78,Zone 1
510,1012,27.12,98.82,Zone 1
510,1013,66.78,41.78,Zone 1
510,1014,5.14,74.53,Zone 1
510,1015,88.37,41.41,Zone 1
510,1016,1.82,76.67,Zone 1
510,1017,80.22,64.45,Zone 1
510,1018,39.07,40.5,Zone 1
510,1019,94.2,43.42,Zone 1
510,1020,15.66,11.35,Zone 1
510,1021,9.05,57.78,Zone 1
510,1022,36.47,77.31,Zone 1
510,1023,13.0,5.17,Zone 1
510,1024,14.25,80.65,Zone 1
510,1025,39.67,57.29,Zone 1
510,1026,92.72,73.72,Zone 1
510,1027,17.17,34.79,Zone 1
510,1028,16.18,17.18,Zone 1
510,1029,6.71,38.37,Zone 1
510,1030,75.36,79.21,Zone 1
510,1031,80.47,30.16,Zone 1
510,1032,83.73,4.35,Zone 1
510,1033,91.28,31.45,Zone 1
510,1034,60.76,63.64,Zone 1
510,1035,8.63,71.23,Zone 1
510,1036,68.82,89.11,Zone 1
510,1037,64.03,85.66,Zone 1
510,1038,62.11,61.47,Zone 1
510,1039,19.61,47.3,Zone 1
510,1040,56.54,4.17,Zone 1
540,1000,93.85,15.65,Zone 1
540,1001,35.92,14.95,Zone 1
540,1002,97.07,81.56,Zone 1
540,1003,19.26,88.39,Zone 1
540,1004,84.25,67.23,Zone 1
540,1005,66.79,32.42,Zone 1
540,1006,38.98,45.57,Zone 1
540,1007,84.9,77.81,Zone 1
540,1008,64.9,30.82,Zone 1
540,1009,24.93,38.92,Zone 1
540,1010,36.75,50.36,Zone 1
540,1011,17.88,0.35,Zone 1
540,1012,98.61,46.53,Zone 1
540,1013,44.68,61.86,Zone 1
540,1014,81.9,83.65,Zone 1
540,1015,81.05,40.03,Zone 1
540,1016,6.71,35.86,Zone 1
540,1017,36.53,80.23,Zone 1
540,1018,50.43,65.71,Zone 1
540,1019,4.07,13.03,Zone 1
540,1020,92.21,31.37,Zone 1
540,1021,72.04,8.0,Zone 1
540,1022,75.21,89.49,Zone 1
540,1023,65.27,78.42,Zone 1
540,1024,2.59,6.64,Zone 1
540,1025,61.41,69.25,Zone 1
540,1026,10.96,13.16,Zone 1
540,1027,88.57,28.79,Zone 1
540,1028,81.1,79.5,Zone 1
540,1029,68.61,72.11,Zone 1
540,1030,22.11,83.3,Zone 1
540,1031,61.04,25.22,Zone 1
540,1032,32.38,61.35,Zone 1
540,1033,90.51,45.64,Zone 1
540,1034,25.42,96.43,Zone 1
540,1035,48.01,59.19,Zone 1
540,1036,61.59,23.74,Zone 1
540,1037,37.23,19.89,Zone 1
540,1038,40.35,63.66,Zone 1
540,1039,27.82,32.78,Zone 1
570,1000,37.68,79.21,Zone 1
570,1001,26.43,76.83,Zone 1
570,1002,4.86,85.83,Zone 1
570,1003,96.62,45.3,Zone 1
570,1004,52.15,68.87,Zone 1
570,1005,89.61,25.2,Zone 1
570,1006,53.57,85.66,Zone 1
570,1007,73.79,37.15,Zone 1
570,1008,37.57,36.89,Zone 1
570,1009,14.62,33.08,Zone 1
570,1010,8.14,23.0,Zone 1
570,1011,61.54,95.8,Zone 1
570,1012,29.64,51.61,Zone 1
570,1013,31.01,96.6,Zone 1
570,1014,87.03,92.85,Zone 1
570,1015,89.57,73.3,Zone 1
570,1016,74.71,22.16,Zone 1
570,1017,29.1,62.56,Zone 1
570,1018,41.77,36.41,Zone 1
570,1019,4.78,48.84,Zone 1
570,1020,61.25,4.56,Zone 1
570,1021,5.44,56.71,Zone 1
570,1022,30.37,52.31,Zone 1
570,1023,53.41,41.32,Zone 1
570,1024,30.12,13.37,Zone 1
570,1025,36.62,82.85,Zone 1
570,1026,15.86,1.41,Zone 1
570,1027,80.15,70.75,Zone 1
570,1028,45.09,6.37,Zone 1
570,1029,14.47,66.55,Zone 1
570,1030,26.98,81.16,Zone 1
570,1031,96.71,5.61,Zone 1
570,1032,82.09,89.27,Zone 1
570,1033,59.47,57.85,Zone 1
570,1034,60.19,51.76,Zone 1
570,1035,49.29,16.51,Zone 1
570,1036,0.04,6.15,Zone 1
570,1037,2.52,18.57,Zone 1
570,1038,15.92,91.17,Zone 1
570,1039,10.49,61.26,Zone 1
570,1040,65.68,19.73,Zone 1
570,1041,41.32,51.83,Zone 1
570,1042,64.27,64.76,Zone 1
570,1043,41.52,61.32,Zone 1
0,2000,50.86,6.38,Zone 2
0,2001,62.6,99.41,Zone 2
0,2002,72.43,47.79,Zone 2
0,2003,53.84,37.52,Zone 2
0,2004,43.66,91.23,Zone 2
0,2005,8.05,65.55,Zone 2
0,2006,17.54,99.66,Zone 2
0,2007,26.14,64.4,Zone 2
0,2008,12.33,89.13,Zone 2
0,2009,92.52,94.29,Zone 2
30,2000,26.33,5.25,Zone 2
30,2001,63.59,67.92,Zone 2
30,2002,68.57,91.73,Zone 2
30,2003,97.19,29.56,Zone 2
30,2004,92.86,89.42,Zone 2
30,2005,8.54,50.74,Zone 2
30,2006,16.98,90.47,Zone 2
30,2007,84.17,20.28,Zone 2
60,2000,15.92,91.5,Zone 2
60,2001,19.19,38.87,Zone 2
60,2002,60.12,37.94,Zone 2
60,2003,85.19,92.17,Zone 2
60,2004,98.17,84.15,Zone 2
60,2005,53.64,47.21,Zone 2
60,2006,53.06,0.64,Zone 2
60,2007,2.65,95.57,Zone 2
60,2008,23.38,88.48,Zone 2
60,2009,78.92,39.16,Zone 2
60,2010,58.53,56.52,Zone 2
60,2011,17.15,3.29,Zone 2
60,2012,11.19,62.2,Zone 2
90,2000,16.18,97.74,Zone 2
90,2001,70.07,3.09,Zone 2
90,2002,13.84,64.35,Zone 2
90,2003,4.26,6.78,Zone 2
90,2004,4.67,85.65,Zone 2
90,2005,76.18,19.93,Zone 2
90,2006,95.46,53.39,Zone 2
90,2007,66.42,87.97,Zone 2
90,2008,75.58,71.12,Zone 2
120,2000,38.38,24.66,Zone 2
120,2001,20.32,3.39,Zone 2
120,2002,94.93,91.11,Zone 2
120,2003,75.38,8.75,Zone 2
120,2004,75.14,63.23,Zone 2
120,2005,47.71,13.27,Zone 2
120,2006,79.2,64.63,Zone 2
120,2007,29.45,33.65,Zone 2
120,2008,26.12,35.09,Zone 2
120,2009,93.01,4.84,Zone 2
150,2000,75.99,91.03,Zone 2
150,2001,76.92,60.2,Zone 2
150,2002,47.61,28.76,Zone 2
150,2003,74.57,78.91,Zone 2
150,2004,3.12,51.86,Zone 2
150,2005,9.83,46.89,Zone 2
150,2006,4.81,56.61,Zone 2
150,2007,71.44,82.78,Zone 2
150,2008,57.45,28.71,Zone 2
150,2009,43.61,52.36,Zone 2
150,2010,28.83,75.05,Zone 2
150,2011,5.4,34.78,Zone 2
150,2012,9.57,69.52,Zone 2
180,2000,82.53,96.72,Zone 2
180,2001,59.26,95.72,Zone 2
180,2002,51.51,57.8,Zone 2
180,2003,15.89,81.52,Zone 2
180,2004,93.83,23.15,Zone 2
180,2005,16.58,93.87,Zone 2
180,2006,76.68,49.03,Zone 2
180,2007,99.11,56.13,Zone 2
180,2008,10.46,32.66,Zone 2
210,2000,9.51,92.85,Zone 2
210,2001,89.18,74.52,Zone 2
210,2002,42.21,64.59,Zone 2
210,2003,37.19,30.31,Zone 2
210,2004,42.81,54.49,Zone 2
210,2005,17.11,98.24,Zone 2
210,2006,63.07,94.39,Zone 2
210,2007,12.69,59.41,Zone 2
210,2008,68.92,60.53,Zone 2
210,2009,3.39,58.16,Zone 2
210,2010,52.17,86.8,Zone 2
210,2011,45.03,55.37,Zone 2
210,2012,32.33,46.32,Zone 2
240,2000,68.91,25.72,Zone 2
240,2001,23.1,33.41,Zone 2
240,2002,64.27,69.66,Zone 2
240,2003,50.77,26.75,Zone 2
240,2004,75.47,82.65,Zone 2
240,2005,61.73,72.33,Zone 2
240,2006,97.48,72.32,Zone 2
240,2007,60.29,34.86,Zone 2
240,2008,23.62,95.58,Zone 2
240,2009,25.87,95.5,Zone 2
240,2010,99.49,16.46,Zone 2
240,2011,65.79,19.54,Zone 2
240,2012,15.1,14.83,Zone 2
240,2013,30.21,29.74,Zone 2
270,2000,27.38,10.93,Zone 2
270,2001,91.14,28.08,Zone 2
270,2002,88.52,46.39,Zone 2
270,2003,1.26,85.43,Zone 2
270,2004,43.65,22.25,Zone 2
270,2005,98.09,29.62,Zone 2
270,2006,2.21,25.72,Zone 2
270,2007,73.82,0.55,Zone 2
270,2008,24.23,85.29,Zone 2
270,2009,70.12,58.74,Zone 2
270,2010,64.72,84.6,Zone 2
270,2011,66.79,65.25,Zone 2
270,2012,87.76,64.17,Zone 2
270,2013,58.38,22.86,Zone 2
270,2014,18.15,12.42,Zone 2
300,2000,43.25,25.98,Zone 2
300,2001,70.07,89.47,Zone 2
300,2002,24.24,40.01,Zone 2
300,2003,71.26,15.65,Zone 2
300,2004,84.94,48.27,Zone 2
300,2005,1.97,85.85,Zone 2
300,2006,51.83,66.11,Zone 2
300,2007,87.3,89.45,Zone 2
300,2008,32.81,1.06,Zone 2
300,2009,83.19,90.82,Zone 2
300,2010,10.64,25.12,Zone 2
300,2011,21.79,71.62,Zone 2
300,2012,95.13,19.98,Zone 2
300,2013,34.82,84.72,Zone 2
330,2000,45.68,20.5,Zone 2
330,2001,47.57,1.61,Zone 2
330,2002,79.26,36.99,Zone 2
330,2003,34.29,74.21,Zone 2
330,2004,45.69,99.03,Zone 2
330,2005,18.38,51.38,Zone 2
330,2006,93.27,72.91,Zone 2
330,2007,61.4,63.76,Zone 2
330,2008,25.25,38.18,Zone 2
330,2009,6.15,7.52,Zone 2
330,2010,91.54,62.86,Zone 2
330,2011,67.49,58.02,Zone 2
330,2012,10.93,30.35,Zone 2
330,2013,40.05,95.36,Zone 2
330,2014,97.15,99.42,Zone 2
330,2015,96.09,46.21,Zone 2
330,2016,16.45,92.94,Zone 2
360,2000,6.89,79.84,Zone 2
360,2001,19.32,64.22,Zone 2
360,2002,72.07,81.46,Zone 2
360,2003,14.63,66.6,Zone 2
360,2004,83.07,79.53,Zone 2
360,2005,41.33,99.61,Zone 2
360,2006,75.99,64.96,Zone 2
360,2007,77.98,46.94,Zone 2
360,2008,78.36,23.05,Zone 2
360,2009,70.42,68.75,Zone 2
360,2010,98.29,67.88,Zone 2
360,2011,48.16,80.54,Zone 2
360,2012,79.89,35.8,Zone 2
360,2013,65.44,32.03,Zone 2
360,2014,48.49,62.34,Zone 2
360,2015,8.54,89.7,Zone 2
360,2016,15.28,30.32,Zone 2
360,2017,38.51,8.53,Zone 2
390,2000,56.46,32.47,Zone 2
390,2001,94.26,53.06,Zone 2
390,2002,34.52,58.25,Zone 2
390,2003,65.73,20.97,Zone 2
390,2004,7.2,29.3,Zone 2
390,2005,60.82,57.85,Zone 2
390,2006,85.42,18.57,Zone 2
390,2007,45.2,78.49,Zone 2
390,2008,20.85,40.25,Zone 2
390,2009,53.45,60.95,Zone 2
390,2010,68.8,97.72,Zone 2
390,2011,9.04,90.16,Zone 2
390,2012,54.85,63.66,Zone 2
390,2013,29.7,49.45,Zone 2
390,2014,21.31,7.86,Zone 2
390,2015,83.93,67.12,Zone 2
390,2016,11.7,11.84,Zone 2
390,2017,41.9,82.71,Zone 2
390,2018,47.32,55.72,Zone 2
390,2019,48.44,90.55,Zone 2
390,2020,70.04,24.66,Zone 2
390,2021,16.46,59.96,Zone 2
390,2022,73.46,16.04,Zone 2
390,2023,32.07,69.59,Zone 2
